lambda_nm,vprime,
595.0999756,0.1600597501,
595,0.1621438116,
594.9000244,0.1643724591,
594.7999878,0.1663909853,
594.7000122,0.1682896316,
594.5999756,0.1708481461,
594.5,0.1738262922,
594.4000244,0.1762251556,
594.2999878,0.1796459407,
594.2000122,0.1821328849,
594.0999756,0.1852109581,
594,0.188919425,
593.9000244,0.1919680536,
593.7999878,0.1969176382,
593.7000122,0.2006952465,
593.5999756,0.204774797,
593.5,0.2088882923,
593.4000244,0.2145436704,
593.2999878,0.2184064686,
593.2000122,0.2226439863,
593.0999756,0.2275568694,
593,0.2300321907,
592.9000244,0.235372439,
592.7999878,0.2412584722,
592.7000122,0.248291865,
592.5999756,0.2535426021,
592.5,0.2589840591,
592.4000244,0.2680341303,
592.2999878,0.2713247538,
592.2000122,0.2744416296,
592.0999756,0.2811906636,
592,0.2876870632,
591.9000244,0.247011736,
591.7999878,0.2174282819,
591.7000122,0.1727301627,
591.5999756,0.163307488,
591.5,0.1652347893,
591.4000244,0.1679338515,
591.2999878,0.1705601811,
591.2000122,0.1737151295,
591.0999756,0.1754920185,
591,0.1788544208,
590.9000244,0.1802898198,
590.7999878,0.1846985072,
590.7000122,0.1859585345,
590.5999756,0.1915127337,
590.5,0.1944741011,
590.4000244,0.1994554549,
590.2999878,0.2032727897,
590.2000122,0.207720682,
590.0999756,0.2123715878,
590,0.2151528299,
589.9000244,0.21937792,
589.7999878,0.2236634642,
589.7000122,0.2310648113,
589.5999756,0.2323860526,
589.5,0.2352109849,
589.4000244,0.2392518818,
589.2999878,0.2480473667,
589.2000122,0.2542722821,
589.0999756,0.2596341372,
589,0.2684186101,
588.9000244,0.273548454,
588.7999878,0.2794052064,
588.7000122,0.2872982025,
588.5999756,0.2949864566,
588.5,0.3023865819,
588.4000244,0.2738506496,
588.2999878,0.2446022183,
588.2000122,0.2484005094,
588.0999756,0.2184907943,
588,0.1769226342,
587.9000244,0.1750960797,
587.7999878,0.1771427691,
587.7000122,0.1795039773,
587.5999756,0.1826503575,
587.5,0.1848192811,
